[16:56:51] [INFO] --- Logger Initialized ---
[16:56:51] [INFO] Virtual CAN Bus Simulator started successfully.
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:05] TX ID: 0x101 DLC: 2 Data: 11 F8 
[16:57:05] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 2A 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 5C 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 8E 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1B 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 C0 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 12 F2 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 24 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 56 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 88 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:06] TX ID: 0x101 DLC: 2 Data: 13 BA 
[16:57:06] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 13 EC 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 1E 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 50 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 82 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1C 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 00 00 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 B4 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 14 E6 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 15 18 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:07] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 15 4A 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:07] TX ID: 0x101 DLC: 2 Data: 15 7C 
[16:57:07] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 15 AE 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 15 E0 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 16 12 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 16 44 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 16 76 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1D 64 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 16 A8 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:08] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 16 DA 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 17 0C 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:08] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:08] TX ID: 0x101 DLC: 2 Data: 17 3E 
[16:57:08] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:09] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 70 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 A2 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 64 
[16:57:09] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 7A 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 63 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 52 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 62 
[16:57:09] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 2A 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 61 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 17 02 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 60 
[16:57:09] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 16 DA 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 5F 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 16 B2 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 5E 
[16:57:09] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:09] TX ID: 0x101 DLC: 2 Data: 16 8A 
[16:57:09] TX ID: 0x102 DLC: 2 Data: 1E 5D 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 16 62 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1E 5C 
[16:57:10] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 16 3A 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1E 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 16 12 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1E 5A 
[16:57:10] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 EA 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 59 
[16:57:10] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 C2 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 58 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 9A 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 57 
[16:57:10] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 72 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 56 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 4A 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 55 
[16:57:10] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:10] TX ID: 0x101 DLC: 2 Data: 15 22 
[16:57:10] TX ID: 0x102 DLC: 2 Data: 1D 54 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 FA 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 53 
[16:57:11] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 D2 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 52 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 AA 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 51 
[16:57:11] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 82 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 50 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 5A 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 4F 
[16:57:11] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 32 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 4E 
[16:57:11] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 14 0A 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 4D 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 13 E2 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 4C 
[16:57:11] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:11] TX ID: 0x101 DLC: 2 Data: 13 BA 
[16:57:11] TX ID: 0x102 DLC: 2 Data: 1D 4B 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 13 92 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1D 4A 
[16:57:12] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 13 6A 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1D 49 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 13 42 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1D 48 
[16:57:12] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 13 1A 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1D 47 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 12 F2 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1D 46 
[16:57:12] TX ID: 0x201 DLC: 2 Data: 03 5B 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 12 CA 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1C 45 
[16:57:12] TX ID: 0x101 DLC: 2 Data: 12 A2 
[16:57:12] TX ID: 0x102 DLC: 2 Data: 1C 44 
[16:57:12] TX ID: 0x201 DLC: 2 Data: 03 5B 
